sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1989-08-29,0.9,36,2.66,4.52,NA
Q1,1989-09-05,0.87,22,2.96,4.75,NA
Q1,1989-09-12,0.91,NA,2.94,4.22,NA
Q1,1989-09-20,NA,NA,NA,NA,NA
Q1,1989-09-22,0.99,10,2.48,3.88,NA
Q1,1989-09-26,1.27,NA,2.63,3.93,NA
Q1,1989-09-26,1.22,NA,2.57,3.9,NA
Q1,1989-10-03,0.98,NA,2.83,4.24,NA
Q1,1989-10-05,1.26,NA,NA,NA,NA
Q1,1989-10-10,0.91,89,2.87,4.31,NA
Q1,1989-10-17,1.04,NA,2.92,4.42,NA
Q1,1989-10-24,1.19,251,2.95,4.48,NA
Q1,1989-10-31,1.23,338,3.97,4.14,NA
Q1,1989-11-07,1.66,420,3.13,4.25,NA
Q1,1989-11-08,2.63,1365,3.1,4.24,NA
Q1,1989-11-14,1.33,291,3.13,4.31,NA
Q1,1989-11-21,1.13,156,3.07,4.3,NA
Q1,1989-11-28,0.93,185,3.19,5.52,NA
Q1,1989-12-05,0.82,147,3.19,5.69,NA
Q1,1989-12-12,0.83,164,3.29,5.91,NA
Q1,1989-12-19,0.8,148,3.24,6.04,NA
Q1,1989-12-26,0.96,27,3.06,6.78,NA
Q1,1990-01-02,2.98,NA,3.19,5.15,NA
Q1,1990-01-09,0.95,38,3.28,5.9,NA
Q1,1990-01-16,1,73,3.37,6.13,NA
Q1,1990-01-23,1.05,10,3.23,5.59,NA
Q1,1990-01-30,1.02,17,3.27,6.01,NA
Q1,1990-02-06,0.97,156,3.22,6.02,NA
Q1,1990-02-13,1.08,212,3.49,6.01,NA
Q1,1990-02-20,1.21,267,3.4,5.85,NA
Q1,1990-02-27,1.16,171,3.46,5.97,NA
Q1,1990-03-06,0.94,119,3.48,6.09,NA
Q1,1990-03-13,2.25,NA,1.82,3.05,NA
Q1,1990-03-20,1.29,490,3.25,5.58,NA
Q1,1990-03-27,1.19,259,3.11,5.34,NA
Q1,1990-04-03,1.03,NA,3.26,5.54,NA
Q1,1990-04-10,0.95,8,3.39,5.85,NA
Q1,1990-04-17,0.94,42,3.29,5.81,NA
Q1,1990-04-24,0.97,53,3.35,5.96,NA
Q1,1990-04-25,1.71,999,0.49,0.66,NA
Q1,1990-04-25,2.1,1468,0.65,0.88,NA
Q1,1990-04-25,2.3,1413,0.59,0.83,NA
Q1,1990-04-26,1.49,243,2.72,4.23,NA
Q1,1990-05-01,1.09,193,3.38,5.97,NA
Q1,1990-05-08,1.15,189,3.24,5.48,NA
Q1,1990-05-10,1.83,737,1.53,2.51,NA
Q1,1990-05-15,1.14,204,3.15,5.42,NA
Q1,1990-05-22,1.14,163,3.36,5.84,NA
Q1,1990-05-29,1.24,142,3.29,5.4,NA
Q1,1990-06-05,1.16,10,3.08,5.25,NA
Q1,1990-06-12,1.19,154,3.21,5.75,NA
Q1,1990-06-19,1.24,170,3.44,5.56,NA
Q1,1990-06-26,1.29,203,3.09,5.07,NA
Q1,1990-07-03,1,109,3.71,6.39,NA
Q1,1990-07-10,1.03,119,3.49,5.94,NA
Q1,1990-07-17,0.93,77,3.54,6.18,NA
Q1,1990-07-24,1.7,445,1.92,3.13,NA
Q1,1990-07-31,0.86,7,3.62,6.18,NA
Q1,1990-08-07,0.89,49,3.65,6.38,NA
Q1,1990-08-14,1.29,250,2.96,4.75,NA
Q1,1990-08-21,0.86,90,3.44,6.13,NA
Q1,1990-08-28,0.78,10,3.51,6.04,NA
Q1,1990-09-04,0.78,10,3.15,6.06,NA
Q1,1990-09-11,0.76,NA,3.47,6.13,NA
